index;Question;Option A;Option B;Option C;Option D;Answer
235;Two trains are running at 40 km/hr and 20 km/hr respectively in the same direction. The fast train completely passes a man sitting in the slower train in 5 seconds. What is the length of the fast train?;23 m;27 m;29 m;50 m;B
236;A train moves past a telegraph post and a bridge 264 m long in 8 seconds and 20 seconds respectively. What is the speed of the train?;69.5 km/hr;70 km/hr;79 km/hr;79.2 km/hr;D
237;How many seconds will a 500-meter long train take to cross a man walking with a speed of 3 km/hr in the direction of the moving train if the speed of the train is 63 km/hr?;25;30;40;45;B
238;The salaries of A, B, and C are in the ratio 2 : 3 : 5. If increments of 15%, 10%, and 20% are allowed respectively in their salaries, what will be the new ratio of their salaries?;3:3:10;10:11:20;23:33:60;Cannot be determined;C
239;The sum of ages of 5 children born at intervals of 3 years each is 50 years. What is the age of the youngest child?;4 years;8 years;10 years;None of these;A
240;A sum of Rs. 1360 has been divided among A, B, and C such that A gets 1/2 of what B gets, and B gets 1/3 of what C gets. B's share is:;Rs. 120;Rs. 160;Rs. 240;Rs. 300;C
241;An error of 2% in excess is made while measuring the side of a square. The percentage of error in the calculated area is:;2%;2.02%;4%;4.04%;D
242;In a shower, 5 cm of rain falls. The volume of water that falls on 1.5 hectares of ground is:;75 cu. m;750 cu. m;7500 cu. m;75000 cu. m;B
243;The reflex angle between the hands of a clock at 10:25 is:;180º;192.5º;195º;197.5º;D
244;Two goods trains each 500 m long are running in opposite directions on parallel tracks at 45 km/hr and 30 km/hr respectively. The time taken by the slower train to pass the driver of the faster one is:;12 sec;24 sec;48 sec;60 sec;B
245;A metallic sheet is of rectangular shape with dimensions 48 m x 36 m. From each of its corners, a square is cut off to make an open box. If the length of the square is 8 m, the volume of the box is:;4830 m³;5120 m³;6420 m³;8960 m³;B
246;A man sells two buffaloes for Rs. 7,820 each. On one he gains 15% and on the other, he loses 15%. His total gain or loss in the transaction is:;2.5% gain;2.25% loss;2% loss;5% loss;B
247;A train overtakes two persons walking along a railway track. The first one walks at 4.5 km/hr, and the other at 5.4 km/hr. The train needs 8.4 and 8.5 seconds respectively to overtake them. What is the speed of the train?;66 km/hr;72 km/hr;78 km/hr;81 km/hr;D
248;A boatman goes 2 km against the current of the stream in 1 hour and goes 1 km along the current in 10 minutes. How long will it take to go 5 km in stationary water?;40 minutes;1 hour;1 hr 15 min;1 hr 30 min;C
249;What is the volume of a 32-meter high cylindrical tank?;4928 m³;4820 m³;5040 m³;4600 m³;A
250;A, B, and C subscribe Rs. 50,000 for a business. A subscribes Rs. 4000 more than B and B Rs. 5000 more than C. Out of a total profit of Rs. 35,000, A receives:;Rs. 8400;Rs. 11,900;Rs. 13,600;Rs. 14,700;D
251;The present worth of Rs. 2310 due 2 years hence, the rate of interest being 15% per annum, is:;Rs. 1750;Rs. 1680;Rs. 1840;Rs. 1443.75;B
252;The average age of husband, wife, and their child 3 years ago was 27 years, and that of the wife and the child 5 years ago was 20 years. The present age of the husband is:;35 years;40 years;50 years;None of these;B
253;The price of 2 sarees and 4 shirts is Rs. 1600. With the same money, one can buy 1 saree and 6 shirts. If one wants to buy 12 shirts, how much shall he have to pay?;Rs. 1200;Rs. 2400;Rs. 4800;Cannot be determined;B
254;A sum of Rs. 725 is lent in the beginning of a year at a certain rate of interest. After 8 months, a sum of Rs. 362.50 more is lent but at the rate twice the former. At the end of the year, Rs. 33.50 is earned as interest from both loans. What was the original rate of interest?;3.60%;4.50%;5%;6%;C
255;The ratio between the length and breadth of a rectangular park is 3:2. If a man cycling along the boundary of the park at 12 km/hr completes one round in 8 minutes, the area of the park (in sq. m) is:;15360;153600;30720;307200;B
256;The slant height of a right circular cone is 10 m and its height is 8 m. Find the area of its curved surface:;30 m²;40 m²;60 m²;80 m²;C
257;A man wants to sell his scooter. There are two offers, one at Rs. 12,000 cash and the other a credit of Rs. 12,880 to be paid after 8 months, money being at 18% per annum. Which is the better offer?;Rs. 12,000 in cash;Rs. 12,880 at credit;Both are equally good;Neither is good;A
258;If log10 2 = 0.3010, then log2 10 is equal to:;0.301;0.699;0.301;1.301;B
259;The product of two numbers is 120, and the sum of their squares is 289. The sum of the numbers is:;20;23;169;None of these;B
260;The banker's discount of a certain sum of money is Rs. 72 and the true discount on the same sum for the same time is Rs. 60. The sum due is:;Rs. 360;Rs. 432;Rs. 540;Rs. 1080;A
261;A train running at 60 km/hr crosses a pole in 9 seconds. What is the length of the train?;120 m;180 m;150 m;540 m;C
262;The average of five numbers is 27. If one number is excluded, the average becomes 25. What is the excluded number?;25;30;35;40;C
263;A man can do a piece of work in 5 days. With the help of a boy, he can do it in 3 days. In how many days can the boy alone do the work?;7.5 days;8 days;7 days;5 days;A
264;The difference between simple interest and compound interest on ₹1200 for one year at 10% per annum is:;₹12;₹6;₹18;₹24;B
265;If 3 pens cost as much as 4 pencils, and 5 pencils cost as much as 2 erasers, how many pens cost as much as 4 erasers?;10;12;16;8;C
266;Two numbers are in the ratio 3:4. If their LCM is 84, what is the greater number?;28;32;36;48;D
267;The perimeter of a rectangle is 60 cm. If its length is twice its breadth, what is the length?;10 cm;15 cm;20 cm;25 cm;C
268;The sum of present ages of a father and his son is 60 years. Five years ago, the father's age was four times the son's age. What is the present age of the son?;10;15;20;25;B
269;A person sells an article at a 10% loss. If he had sold it for ₹40 more, he would have gained 10%. Find the cost price.;₹150;₹200;₹250;₹300;B
270;What is the least number which when divided by 12, 18, 36 and 45 leaves a remainder 8 in each case?;368;3688;728;7288;C
271;A can do a piece of work in 10 days, and B in 15 days. They work together for 5 days. How much work is left?;1/4;1/2;1/3;1/5;A
272;Find the missing term in the series: 2, 6, 12, 20, ?, 42;28;30;32;34;C
273;The area of a circle is 616 cm². What is its diameter?;14 cm;28 cm;20 cm;30 cm;B
274;If the selling price of an article is ₹480 and the profit earned is 20%, find the cost price.;₹400;₹450;₹500;₹550;A
275;The ratio of ages of A and B is 4:5. After 8 years, the ratio becomes 5:6. What is the present age of A?;32;40;48;36;A
276;If x² - 7x + 12 = 0, find the value of x.;3 and 4;4 and 5;2 and 6;3 and 5;A
277;The average marks of 30 students is 45. Later, it was found that one mark was wrongly entered as 75 instead of 45. Find the correct average.;44;43;44.5;45.5;A
278;A man can row 8 km/hr in still water. If the river is running at 2 km/hr, it takes him 2 hours to row to a place and back. How far is the place?;14 km;15 km;16 km;18 km;C
279;A fruit seller buys 240 oranges at ₹10 a dozen. He sells them at ₹5 for 3 oranges. Find his gain or loss percent.;10% gain;20% gain;10% loss;20% loss;B
280;Find the HCF of 60, 72 and 108.;6;12;18;24;C
281;What is the probability of getting a head when a coin is tossed?;0;1;1/2;1/3;C
282;What will come in place of the question mark? 8, 24, 12, 36, 18, ?;48;54;60;30;B
283;A mixture contains milk and water in the ratio 5:1. How much water should be added to 12 liters of the mixture to make the ratio 3:1?;1 liter;1.5 liters;2 liters;3 liters;B
284;A man invested ₹5000 at 5% per annum simple interest. Find the interest earned in 3 years.;₹500;₹750;₹800;₹600;B
285;If the perimeter of a square is 48 cm, find its area.;144 cm²;121 cm²;100 cm²;64 cm²;A
286;The sum of two numbers is 80 and their difference is 20. What is the larger number?;30;40;50;60;C
287;The population of a town increases by 10% annually. If it is 20000 now, what will be the population after 2 years?;22000;24200;24000;25000;B
288;In a school, 60% of students are boys. If the number of girls is 800, find the total number of students.;1800;2000;2200;2400;B
289;A shopkeeper buys a pen for ₹10 and sells it for ₹12.50. What is his profit percentage?;10%;20%;25%;30%;C
290;Find the compound interest on ₹10000 at 10% per annum for 2 years.;₹1000;₹2000;₹2100;₹2200;C
291;If 5x – 3 = 2x + 12, then x = ?;4;5;6;7;D
292;Find the next number in the series: 5, 11, 23, 47, ?;95;93;91;89;A
293;The sum of angles in a triangle is always;90°;180°;360°;270°;B
294;Speed = Distance / Time. If a car covers 180 km in 3 hours, what is its speed?;50 km/hr;60 km/hr;70 km/hr;80 km/hr;B
295;How many prime numbers are there between 1 and 20?;7;8;9;10;B
296;The square root of 625 is:;15;20;25;30;C
297;In an exam, a student scores 25 out of 50. What is the percentage?;25%;40%;50%;60%;C
298;If x + y = 10 and x – y = 4, find the value of x.;3;5;7;6;D
299;What is the smallest odd prime number?;1;2;3;5;C
300;How many sides does a hexagon have?;5;6;7;8;B
