cgpa,backlogs,certifications,aptitude,coding,communication,projects,hackathon,resume,branch,placement_readiness,company_fit
7.28,2,9,43,79,47,7,0,4,1,1,Tier 2
5.06,0,1,68,79,85,6,1,3,5,0,Not Eligible
5.36,1,6,98,82,90,3,0,3,5,0,Not Eligible
6.96,0,8,49,48,90,7,1,3,2,0,Not Eligible
7.4,2,4,90,58,62,4,0,4,5,1,Tier 2
8.0,2,6,68,90,65,0,0,1,4,1,Tier 1
6.46,1,3,77,48,83,2,0,1,0,0,Not Eligible
8.47,4,1,40,62,94,7,0,7,2,1,Tier 1
9.3,4,2,79,70,66,5,1,5,5,1,Tier 1
8.9,1,1,47,71,48,7,1,3,0,1,Tier 1
5.2,4,4,96,91,85,1,1,9,0,0,Not Eligible
7.4,3,5,77,70,77,6,1,5,4,1,Tier 2
5.52,4,6,56,56,86,0,0,10,4,0,Not Eligible
6.21,4,2,58,87,52,6,1,3,3,0,Not Eligible
9.93,4,3,72,78,46,0,1,9,0,1,Tier 1
5.71,3,7,54,97,50,0,1,1,2,0,Not Eligible
7.49,4,3,84,61,49,3,0,9,4,1,Tier 2
8.09,3,6,70,74,72,7,0,5,2,1,Tier 1
8.51,1,5,60,69,78,4,0,6,0,1,Tier 1
7.8,0,6,42,92,89,5,0,2,4,1,Tier 2
5.05,1,0,41,90,94,1,0,8,3,0,Not Eligible
6.63,0,2,74,79,42,7,1,3,0,0,Not Eligible
7.59,1,5,80,76,80,6,0,1,2,1,Tier 2
5.44,0,2,98,65,68,1,1,7,3,0,Not Eligible
6.75,0,6,55,97,76,4,0,3,0,0,Not Eligible
5.17,2,8,95,45,94,3,0,4,4,0,Not Eligible
5.39,0,2,84,73,95,3,0,5,5,0,Not Eligible
6.98,0,0,90,95,84,4,0,1,0,0,Not Eligible
5.66,2,9,98,71,55,6,0,9,1,0,Not Eligible
7.84,4,5,89,64,55,4,0,7,2,1,Tier 2
8.45,4,0,60,90,83,2,1,2,4,1,Tier 1
9.0,2,0,51,52,89,3,0,1,4,1,Tier 1
6.0,3,7,67,77,82,6,0,2,1,0,Not Eligible
5.84,0,8,51,77,88,0,1,3,5,0,Not Eligible
5.52,0,1,72,41,46,7,0,3,3,0,Not Eligible
8.18,2,8,59,97,54,1,0,8,4,1,Tier 1
8.53,2,4,79,95,77,3,1,5,3,1,Tier 1
5.16,3,7,88,44,45,4,1,9,3,0,Not Eligible
9.68,4,6,60,50,57,0,0,3,3,1,Tier 1
5.26,1,6,99,50,58,7,0,6,5,0,Not Eligible
7.71,4,3,91,63,91,7,0,4,0,1,Tier 2
8.55,0,1,93,53,90,7,0,8,1,1,Tier 1
9.35,2,4,78,84,41,2,0,1,2,1,Tier 1
8.57,3,2,80,69,42,5,0,4,1,1,Tier 1
9.01,4,8,88,79,85,2,1,7,4,1,Tier 1
6.7,3,5,98,86,93,0,1,9,1,0,Not Eligible
9.07,4,0,81,83,64,7,1,1,2,1,Tier 1
5.4,0,2,75,74,75,6,1,8,0,0,Not Eligible
9.47,1,3,61,60,93,6,0,2,4,1,Tier 1
7.74,3,8,65,94,88,0,1,4,0,1,Tier 2
9.09,3,5,46,44,67,6,0,4,4,1,Tier 1
7.26,1,3,46,77,77,4,0,8,2,1,Tier 2
8.22,3,0,47,41,67,6,1,2,0,1,Tier 1
7.63,3,7,65,79,71,5,0,7,2,1,Tier 2
8.66,4,1,63,76,90,4,1,3,2,1,Tier 1
5.41,4,7,63,93,80,1,1,9,5,0,Not Eligible
5.3,1,5,79,88,75,6,1,5,1,0,Not Eligible
6.24,0,7,87,97,78,5,1,8,4,0,Not Eligible
5.8,3,5,51,73,75,5,1,5,3,0,Not Eligible
9.36,0,4,86,50,82,1,0,1,3,1,Tier 1
6.1,1,4,47,75,93,2,1,9,0,0,Not Eligible
9.88,1,9,93,50,62,0,0,10,2,1,Tier 1
6.68,4,9,48,48,41,2,0,7,1,0,Not Eligible
5.91,3,7,42,45,49,6,0,4,4,0,Not Eligible
8.95,2,6,93,95,45,6,0,7,0,1,Tier 1
8.29,1,7,60,73,47,4,1,5,2,1,Tier 1
7.49,3,7,70,97,54,3,0,10,5,1,Tier 2
7.78,0,6,87,86,84,6,1,9,3,1,Tier 2
8.6,4,1,86,76,68,6,0,2,3,1,Tier 1
6.14,0,8,63,71,67,4,1,4,4,0,Not Eligible
9.98,1,6,43,99,61,3,1,6,4,1,Tier 1
9.87,1,5,59,51,73,7,1,5,4,1,Tier 1
8.25,0,8,55,84,59,7,1,1,0,1,Tier 1
6.0,1,0,49,71,72,7,1,9,4,0,Not Eligible
8.4,3,1,82,56,54,0,0,9,0,1,Tier 1
5.36,1,0,65,43,46,0,0,3,1,0,Not Eligible
5.15,4,9,68,81,63,7,0,4,2,0,Not Eligible
6.29,3,2,44,72,65,5,0,4,3,0,Not Eligible
7.31,2,4,50,82,89,0,1,10,0,1,Tier 2
9.34,1,0,68,87,49,1,0,8,2,1,Tier 1
8.64,1,3,84,82,54,1,0,6,5,1,Tier 1
8.71,4,7,54,48,76,7,0,2,4,1,Tier 1
7.13,4,5,45,73,98,3,0,4,3,1,Tier 2
6.73,0,0,87,78,63,2,0,1,5,0,Not Eligible
6.86,0,0,54,90,50,5,1,3,0,0,Not Eligible
9.94,0,2,82,69,79,2,1,4,4,1,Tier 1
5.2,4,9,59,89,60,3,0,8,2,0,Not Eligible
9.34,0,7,73,59,79,1,1,3,1,1,Tier 1
7.89,0,7,99,78,77,4,0,5,2,1,Tier 2
7.19,2,2,99,62,54,6,1,1,0,1,Tier 2
8.63,0,6,41,80,54,7,1,4,1,1,Tier 1
7.43,1,2,83,83,76,5,0,2,1,1,Tier 2
9.37,4,3,55,74,84,3,1,4,4,1,Tier 1
9.5,3,8,58,62,53,2,0,5,2,1,Tier 1
7.11,2,3,73,93,82,3,0,3,0,1,Tier 2
6.38,4,2,88,97,91,3,1,6,5,0,Not Eligible
7.96,4,4,53,87,60,0,1,2,5,1,Tier 2
9.56,1,6,63,78,83,7,1,5,1,1,Tier 1
6.05,0,4,67,62,59,1,1,4,4,0,Not Eligible
8.11,1,3,87,97,72,5,0,5,5,1,Tier 1
8.16,0,7,71,76,42,0,0,9,1,1,Tier 1
8.67,0,3,76,96,79,1,0,6,2,1,Tier 1
5.66,4,1,49,62,62,7,0,7,5,0,Not Eligible
8.58,0,9,88,78,83,3,0,8,3,1,Tier 1
9.55,2,5,84,67,86,1,0,9,0,1,Tier 1
5.9,2,1,87,58,62,2,1,5,3,0,Not Eligible
6.19,2,2,48,88,66,7,0,8,2,0,Not Eligible
9.86,4,0,63,87,74,5,0,2,3,1,Tier 1
5.9,1,4,75,69,64,7,1,10,2,0,Not Eligible
9.27,3,8,95,60,71,7,1,9,2,1,Tier 1
7.46,0,1,68,63,61,0,0,2,4,1,Tier 2
6.24,3,6,99,60,47,5,0,5,3,0,Not Eligible
9.35,1,4,68,65,95,3,1,6,1,1,Tier 1
7.23,1,1,97,90,90,2,0,4,2,1,Tier 2
7.57,4,7,87,96,91,1,1,8,3,1,Tier 2
6.8,2,5,62,89,77,6,1,10,1,0,Not Eligible
7.96,2,3,66,90,57,1,1,3,0,1,Tier 2
5.82,1,3,70,99,67,2,0,5,1,0,Not Eligible
6.96,4,1,82,75,67,6,0,2,3,0,Not Eligible
9.85,4,2,46,65,50,1,1,3,3,1,Tier 1
6.29,0,6,88,72,51,0,1,8,1,0,Not Eligible
8.28,2,2,93,98,94,4,0,5,1,1,Tier 1
6.63,1,4,84,75,41,1,0,3,5,0,Not Eligible
8.87,3,9,43,43,98,3,0,5,2,1,Tier 1
5.65,2,5,53,48,76,1,1,9,3,0,Not Eligible
9.85,0,5,81,47,99,5,1,3,2,1,Tier 1
7.27,4,3,81,41,43,3,1,10,2,1,Tier 2
6.18,1,5,49,68,80,1,0,7,0,0,Not Eligible
5.37,2,2,98,62,84,1,1,8,3,0,Not Eligible
5.85,3,6,83,45,84,7,1,5,2,0,Not Eligible
7.6,0,6,73,94,86,3,1,3,0,1,Tier 2
6.69,0,3,65,82,73,0,0,6,5,0,Not Eligible
9.14,2,1,62,75,62,6,1,3,2,1,Tier 1
7.15,3,6,48,85,52,6,1,9,2,1,Tier 2
6.24,0,2,76,60,46,4,0,2,5,0,Not Eligible
8.09,1,0,47,61,71,4,1,3,3,1,Tier 1
8.53,0,1,92,48,62,6,0,7,1,1,Tier 1
5.84,3,9,53,73,88,0,0,10,5,0,Not Eligible
5.84,4,8,46,98,47,1,1,8,1,0,Not Eligible
5.18,4,7,46,96,89,4,0,5,3,0,Not Eligible
8.68,2,5,48,65,86,0,1,5,1,1,Tier 1
8.32,3,5,42,40,86,0,0,5,4,1,Tier 1
7.37,0,0,53,75,76,4,1,4,1,1,Tier 2
9.22,0,1,56,83,73,6,0,9,5,1,Tier 1
9.03,4,3,89,44,87,3,0,6,2,1,Tier 1
7.93,4,2,83,80,68,2,0,8,2,1,Tier 2
9.34,1,0,61,61,76,6,1,8,0,1,Tier 1
6.03,4,7,85,43,62,3,1,5,5,0,Not Eligible
5.56,1,6,65,87,77,6,1,9,3,0,Not Eligible
6.35,0,3,97,41,68,1,0,2,0,0,Not Eligible
5.29,1,8,67,55,83,3,0,8,2,0,Not Eligible
7.66,1,3,84,55,44,5,1,3,2,1,Tier 2
9.68,2,0,53,92,91,2,1,7,0,1,Tier 1
5.2,4,9,48,95,79,6,0,9,5,0,Not Eligible
5.61,1,0,90,95,50,7,0,5,4,0,Not Eligible
7.26,0,0,65,61,53,2,0,8,1,1,Tier 2
9.67,3,0,41,82,95,0,1,4,4,1,Tier 1
6.58,1,3,50,40,88,5,0,1,4,0,Not Eligible
7.54,4,0,56,54,81,1,1,1,4,1,Tier 2
5.21,2,1,73,63,41,0,0,6,5,0,Not Eligible
5.74,0,3,58,43,74,3,1,8,4,0,Not Eligible
9.93,2,6,78,57,84,3,0,10,1,1,Tier 1
9.83,3,1,57,56,88,4,0,2,3,1,Tier 1
5.02,1,7,52,46,98,0,1,4,0,0,Not Eligible
9.76,1,6,44,89,74,5,0,3,4,1,Tier 1
8.2,4,8,89,84,81,0,0,9,4,1,Tier 1
9.34,1,5,62,91,67,0,0,3,0,1,Tier 1
7.27,0,3,97,91,47,0,1,8,0,1,Tier 2
7.58,3,5,95,49,71,2,0,7,3,1,Tier 2
7.44,2,3,63,40,43,4,1,1,2,1,Tier 2
8.33,3,6,68,41,84,6,0,8,3,1,Tier 1
5.7,1,8,87,88,46,1,0,9,2,0,Not Eligible
5.15,2,2,86,61,78,1,1,8,5,0,Not Eligible
6.54,4,2,47,71,87,7,1,10,1,0,Not Eligible
8.52,3,1,65,68,66,1,1,10,3,1,Tier 1
6.01,2,0,54,74,76,7,1,1,1,0,Not Eligible
8.37,2,0,96,56,99,2,1,7,0,1,Tier 1
9.85,2,2,40,51,56,4,1,9,3,1,Tier 1
5.47,0,6,67,63,49,5,0,5,5,0,Not Eligible
8.36,3,8,88,69,43,4,0,2,0,1,Tier 1
7.22,2,1,86,83,62,7,0,8,5,1,Tier 2
9.34,3,6,85,69,53,2,0,9,5,1,Tier 1
5.89,2,0,53,59,44,5,1,7,4,0,Not Eligible
8.46,4,1,81,81,41,0,0,5,0,1,Tier 1
9.19,4,5,73,46,85,3,0,8,5,1,Tier 1
9.72,4,4,98,81,63,0,0,6,4,1,Tier 1
8.42,1,7,70,89,57,1,1,4,2,1,Tier 1
7.49,2,1,45,93,66,0,1,1,4,1,Tier 2
8.09,1,0,88,77,63,2,0,6,2,1,Tier 1
9.34,3,6,44,46,68,1,1,8,4,1,Tier 1
7.85,1,5,70,99,50,3,0,3,4,1,Tier 2
5.15,3,7,76,88,87,5,1,7,1,0,Not Eligible
9.65,3,7,54,69,57,7,0,7,1,1,Tier 1
8.45,3,1,54,51,98,7,1,9,0,1,Tier 1
8.38,1,7,91,88,87,5,0,1,5,1,Tier 1
6.08,2,5,82,70,92,7,0,5,1,0,Not Eligible
8.29,1,8,44,57,43,1,1,8,2,1,Tier 1
6.97,2,6,67,85,72,6,1,3,1,0,Not Eligible
8.26,2,1,72,82,53,6,1,5,0,1,Tier 1
5.53,3,7,50,41,83,0,1,1,3,0,Not Eligible
8.29,1,8,82,92,95,6,0,9,2,1,Tier 1
10.0,2,6,45,72,81,7,0,4,3,1,Tier 1
5.24,4,3,62,50,71,4,0,5,2,0,Not Eligible
9.89,2,8,79,73,99,4,0,3,5,1,Tier 1
7.03,4,3,41,55,90,5,0,2,5,1,Tier 2
9.35,1,3,54,93,43,4,0,7,5,1,Tier 1
8.91,1,8,62,74,59,1,0,5,0,1,Tier 1
7.84,1,7,61,91,60,4,0,10,1,1,Tier 2
8.69,2,3,48,72,42,2,1,3,3,1,Tier 1
9.39,0,7,86,60,64,5,0,2,3,1,Tier 1
7.02,2,7,79,59,43,3,1,10,1,1,Tier 2
6.64,2,6,69,47,97,4,1,6,0,0,Not Eligible
8.34,3,9,55,90,86,2,1,10,1,1,Tier 1
9.04,3,5,98,65,50,2,1,6,4,1,Tier 1
8.81,2,7,85,72,55,1,0,3,4,1,Tier 1
8.99,4,6,86,65,98,5,1,9,5,1,Tier 1
7.18,3,4,91,76,75,1,0,1,4,1,Tier 2
9.09,2,3,69,69,45,3,0,3,3,1,Tier 1
5.6,0,1,84,70,70,3,1,1,5,0,Not Eligible
7.72,4,7,48,72,79,7,0,7,3,1,Tier 2
5.03,1,8,40,50,52,0,0,2,0,0,Not Eligible
6.62,2,3,98,92,62,3,1,4,2,0,Not Eligible
6.83,2,3,77,80,91,5,1,4,1,0,Not Eligible
6.98,4,4,47,44,43,6,0,8,2,0,Not Eligible
8.48,3,1,98,41,76,6,0,4,3,1,Tier 1
6.94,3,6,98,52,81,5,0,3,1,0,Not Eligible
7.24,3,4,91,57,76,7,0,10,3,1,Tier 2
6.19,1,5,57,65,83,7,1,3,0,0,Not Eligible
6.87,4,3,66,64,72,1,1,5,5,0,Not Eligible
6.14,4,7,57,83,95,2,1,6,1,0,Not Eligible
5.37,3,7,71,53,81,0,1,7,3,0,Not Eligible
8.02,3,4,97,44,68,6,0,5,4,1,Tier 1
8.34,0,5,88,98,76,7,1,7,4,1,Tier 1
8.1,0,2,71,95,58,6,0,4,3,1,Tier 1
7.32,2,0,92,81,90,3,0,5,2,1,Tier 2
6.9,2,8,87,91,59,2,1,6,5,0,Not Eligible
9.32,4,8,84,41,71,1,0,9,0,1,Tier 1
7.6,4,2,93,43,83,7,0,6,0,1,Tier 2
7.4,1,3,75,51,94,4,0,10,3,1,Tier 2
5.13,1,6,75,50,55,0,1,1,0,0,Not Eligible
6.71,0,1,60,43,44,5,0,7,1,0,Not Eligible
6.9,2,2,85,82,88,2,0,3,0,0,Not Eligible
6.99,0,5,71,48,85,1,0,6,4,0,Not Eligible
7.9,0,7,70,49,51,1,0,2,3,1,Tier 2
7.67,2,0,76,66,84,0,1,7,1,1,Tier 2
8.04,1,3,55,45,60,0,1,1,0,1,Tier 1
8.82,2,0,85,54,53,7,0,2,4,1,Tier 1
9.06,3,1,85,81,76,3,0,9,5,1,Tier 1
8.59,3,7,53,70,61,3,0,9,2,1,Tier 1
9.78,3,5,96,61,69,5,1,7,0,1,Tier 1
5.09,4,8,63,92,62,5,1,2,4,0,Not Eligible
5.98,1,1,64,45,44,7,0,5,5,0,Not Eligible
5.04,1,2,85,72,68,0,0,4,5,0,Not Eligible
8.24,4,8,90,68,98,0,1,2,4,1,Tier 1
9.49,0,8,74,60,69,2,0,2,4,1,Tier 1
6.22,3,5,56,99,57,3,1,10,4,0,Not Eligible
9.64,3,2,85,93,85,1,0,8,2,1,Tier 1
5.3,0,4,81,95,89,6,0,5,3,0,Not Eligible
9.67,2,1,84,91,91,6,0,8,4,1,Tier 1
6.76,2,6,93,69,40,6,0,2,3,0,Not Eligible
5.51,1,9,43,60,78,7,1,2,5,0,Not Eligible
7.43,4,7,50,75,56,3,1,3,2,1,Tier 2
6.28,1,5,86,94,42,3,1,10,5,0,Not Eligible
6.42,2,7,54,97,81,0,0,8,2,0,Not Eligible
6.54,0,1,69,61,46,6,0,8,5,0,Not Eligible
9.02,1,2,63,85,66,0,1,3,1,1,Tier 1
7.7,3,6,41,59,67,3,1,1,1,1,Tier 2
6.56,3,9,82,61,83,4,0,7,4,0,Not Eligible
8.05,0,0,73,91,93,4,1,4,3,1,Tier 1
8.58,2,6,62,99,70,5,0,3,5,1,Tier 1
6.36,3,5,70,79,54,3,1,5,2,0,Not Eligible
7.07,3,7,76,50,94,6,0,6,0,1,Tier 2
5.61,4,6,52,86,92,7,0,1,1,0,Not Eligible
5.91,1,3,72,70,87,4,1,9,1,0,Not Eligible
8.41,2,2,46,90,47,7,1,6,5,1,Tier 1
5.91,1,2,71,79,45,7,0,3,0,0,Not Eligible
7.63,2,3,46,52,67,5,0,1,3,1,Tier 2
8.55,3,8,81,57,43,5,1,9,3,1,Tier 1
5.53,4,8,77,61,69,3,0,2,3,0,Not Eligible
7.84,1,1,91,95,82,5,1,10,4,1,Tier 2
6.28,3,4,83,56,56,0,0,6,4,0,Not Eligible
9.81,2,0,52,77,73,0,1,6,5,1,Tier 1
7.42,1,3,63,64,99,0,0,3,0,1,Tier 2
9.03,1,1,67,71,45,1,0,6,5,1,Tier 1
7.75,3,7,71,54,75,7,0,2,2,1,Tier 2
5.22,1,3,82,52,74,0,0,8,0,0,Not Eligible
8.17,4,4,57,97,78,6,0,1,2,1,Tier 1
9.76,4,3,73,65,78,0,0,6,0,1,Tier 1
8.01,3,4,87,89,55,3,0,1,4,1,Tier 1
9.1,2,4,73,50,41,4,1,9,3,1,Tier 1
9.42,3,4,90,52,47,6,1,9,1,1,Tier 1
6.14,4,2,77,72,54,4,0,6,0,0,Not Eligible
6.06,0,6,40,89,66,0,1,6,0,0,Not Eligible
8.05,0,2,82,76,55,7,1,9,1,1,Tier 1
7.06,1,1,89,77,40,0,0,5,0,1,Tier 2
9.2,1,2,81,40,98,0,1,9,3,1,Tier 1
9.5,0,2,70,78,49,5,0,5,5,1,Tier 1
6.77,4,7,89,66,46,3,1,4,1,0,Not Eligible
6.18,1,3,99,75,87,3,1,2,1,0,Not Eligible
8.9,3,2,40,71,49,7,1,2,3,1,Tier 1
6.37,3,9,90,80,51,3,0,1,3,0,Not Eligible
9.11,4,4,55,54,56,4,1,10,1,1,Tier 1
7.12,1,3,97,70,84,6,0,3,3,1,Tier 2
8.34,3,8,78,45,51,6,0,1,5,1,Tier 1
5.48,1,7,54,64,54,1,1,6,3,0,Not Eligible
8.12,1,6,72,88,85,4,0,7,5,1,Tier 1
7.26,3,7,62,91,90,3,0,9,3,1,Tier 2
7.93,0,4,92,57,71,7,1,7,1,1,Tier 2
5.84,3,3,80,61,71,2,0,4,0,0,Not Eligible
8.68,4,6,73,70,90,1,1,4,2,1,Tier 1
9.31,2,0,56,75,65,0,1,8,1,1,Tier 1
6.08,3,5,64,48,53,5,0,4,2,0,Not Eligible
5.48,1,7,95,85,89,4,1,1,3,0,Not Eligible
5.12,1,6,81,42,65,5,1,9,3,0,Not Eligible
8.21,3,1,45,72,44,1,0,3,0,1,Tier 1
8.04,2,6,70,66,91,7,0,1,3,1,Tier 1
7.73,3,5,44,82,77,6,0,9,2,1,Tier 2
6.16,2,4,79,40,89,7,0,10,1,0,Not Eligible
6.95,2,3,79,83,85,2,1,10,1,0,Not Eligible
7.97,4,0,69,96,43,1,1,5,5,1,Tier 2
7.48,1,1,44,48,67,4,1,9,0,1,Tier 2
9.94,1,6,51,44,94,3,1,3,2,1,Tier 1
5.68,2,9,46,54,40,0,1,6,3,0,Not Eligible
8.48,1,2,84,89,52,3,0,7,4,1,Tier 1
7.02,0,4,52,48,82,3,1,5,0,1,Tier 2
7.14,2,7,88,84,42,7,1,8,0,1,Tier 2
8.59,1,7,43,67,88,4,1,10,4,1,Tier 1
8.46,0,5,89,52,89,3,1,6,1,1,Tier 1
9.96,4,4,81,63,64,7,0,6,5,1,Tier 1
5.64,1,1,42,84,81,3,0,7,1,0,Not Eligible
5.52,0,8,51,98,55,4,0,8,1,0,Not Eligible
8.62,3,0,40,49,60,7,1,2,4,1,Tier 1
7.89,3,1,66,81,52,4,1,7,3,1,Tier 2
6.37,0,0,82,61,91,2,1,9,3,0,Not Eligible
5.4,2,3,89,78,83,3,0,1,5,0,Not Eligible
5.43,2,3,52,99,75,1,1,1,5,0,Not Eligible
9.47,1,4,56,61,47,6,0,7,2,1,Tier 1
5.96,3,4,47,76,83,0,1,5,2,0,Not Eligible
6.62,2,7,71,91,58,5,0,1,1,0,Not Eligible
6.13,2,2,59,78,86,0,0,1,4,0,Not Eligible
6.77,3,5,90,59,99,4,1,2,5,0,Not Eligible
5.35,4,2,56,49,55,7,1,10,0,0,Not Eligible
7.6,2,1,73,49,51,5,0,9,3,1,Tier 2
5.34,0,7,74,65,59,4,0,3,4,0,Not Eligible
9.0,1,0,74,64,57,6,0,9,5,1,Tier 1
6.17,2,8,77,92,93,7,0,6,2,0,Not Eligible
7.7,2,6,81,95,51,6,0,10,5,1,Tier 2
9.4,4,9,63,67,87,2,1,6,3,1,Tier 1
8.25,0,3,93,52,64,3,0,7,5,1,Tier 1
7.66,1,2,57,54,99,4,1,10,3,1,Tier 2
6.62,2,5,89,99,91,6,1,8,4,0,Not Eligible
6.67,1,8,85,99,50,4,1,3,5,0,Not Eligible
8.35,3,8,87,45,61,0,1,8,5,1,Tier 1
9.97,2,3,78,91,91,3,1,6,2,1,Tier 1
8.31,2,9,72,51,85,2,0,6,4,1,Tier 1
7.79,3,4,88,58,73,6,1,3,0,1,Tier 2
8.65,4,8,62,71,52,7,0,6,3,1,Tier 1
7.33,2,1,64,50,85,4,1,8,4,1,Tier 2
5.3,1,1,76,77,77,4,0,7,4,0,Not Eligible
7.81,0,4,66,72,51,7,1,10,0,1,Tier 2
9.79,1,0,40,41,78,4,0,10,4,1,Tier 1
5.88,4,7,60,94,75,0,0,7,3,0,Not Eligible
8.45,0,4,98,54,67,6,0,3,1,1,Tier 1
6.0,1,9,88,75,66,4,1,10,1,0,Not Eligible
7.68,1,1,49,44,78,4,0,3,2,1,Tier 2
5.48,3,8,70,54,52,0,1,5,0,0,Not Eligible
7.25,4,1,83,82,82,4,1,5,2,1,Tier 2
8.78,3,6,64,49,79,7,0,9,1,1,Tier 1
6.74,0,7,59,56,66,3,1,9,0,0,Not Eligible
8.32,3,5,96,73,90,3,1,10,4,1,Tier 1
8.98,4,6,41,91,70,0,1,5,4,1,Tier 1
9.64,2,0,94,63,41,3,1,5,3,1,Tier 1
6.17,2,3,87,49,92,5,0,6,5,0,Not Eligible
7.0,0,6,54,91,57,5,1,8,1,0,Not Eligible
5.76,2,0,67,69,65,5,0,6,4,0,Not Eligible
9.96,3,0,52,42,92,2,1,6,0,1,Tier 1
9.64,0,5,89,90,81,4,0,9,5,1,Tier 1
7.7,4,3,99,99,70,2,0,1,5,1,Tier 2
9.21,0,2,91,76,77,3,1,4,4,1,Tier 1
7.6,0,4,93,42,95,0,1,10,2,1,Tier 2
8.12,1,8,53,79,61,5,1,10,2,1,Tier 1
5.45,1,9,89,44,75,0,1,2,2,0,Not Eligible
8.78,0,9,41,67,58,2,1,9,5,1,Tier 1
5.64,2,9,73,83,53,7,0,3,2,0,Not Eligible
9.13,1,2,74,53,53,3,0,10,2,1,Tier 1
8.91,4,4,76,78,89,6,0,2,5,1,Tier 1
8.54,3,9,64,50,68,4,1,8,3,1,Tier 1
5.18,1,4,87,47,56,6,1,4,2,0,Not Eligible
6.52,0,8,93,76,89,3,1,2,3,0,Not Eligible
6.32,2,9,54,47,89,5,0,4,3,0,Not Eligible
6.8,3,3,51,51,76,7,1,7,4,0,Not Eligible
5.44,1,0,48,54,48,3,0,7,5,0,Not Eligible
9.68,2,9,97,58,40,0,0,1,0,1,Tier 1
7.77,2,4,70,87,43,1,1,1,2,1,Tier 2
6.53,2,0,53,85,97,7,0,3,0,0,Not Eligible
6.98,0,5,68,67,46,5,0,2,1,0,Not Eligible
7.24,4,9,92,46,50,6,0,3,3,1,Tier 2
8.0,2,9,87,79,53,4,1,4,1,1,Tier 1
7.58,3,6,82,46,81,5,0,7,3,1,Tier 2
9.6,1,0,77,69,58,5,1,2,2,1,Tier 1
7.48,3,9,81,57,79,4,1,7,1,1,Tier 2
9.96,0,3,99,63,42,6,0,5,5,1,Tier 1
9.26,0,8,47,45,47,5,1,8,4,1,Tier 1
6.04,3,0,87,97,68,0,0,8,1,0,Not Eligible
9.65,4,8,42,90,89,3,1,5,3,1,Tier 1
5.58,0,7,41,43,76,0,1,10,5,0,Not Eligible
9.09,0,4,55,94,91,3,1,8,3,1,Tier 1
6.9,3,5,58,42,82,1,1,9,0,0,Not Eligible
9.39,0,6,69,88,48,5,1,7,1,1,Tier 1
9.34,4,3,80,93,58,1,1,6,4,1,Tier 1
9.03,4,5,55,90,51,2,1,7,2,1,Tier 1
8.95,4,6,70,98,66,6,0,7,0,1,Tier 1
6.52,1,5,93,86,76,3,0,3,1,0,Not Eligible
5.4,4,5,97,97,87,0,0,6,0,0,Not Eligible
7.01,4,1,67,45,97,7,1,6,1,1,Tier 2
5.87,1,4,43,65,64,0,0,9,2,0,Not Eligible
8.47,2,2,49,83,84,5,1,1,2,1,Tier 1
6.73,0,6,90,90,77,0,1,7,4,0,Not Eligible
9.88,4,3,84,77,87,2,1,1,0,1,Tier 1
8.2,0,0,57,50,89,4,1,10,4,1,Tier 1
9.11,3,5,86,91,56,0,1,4,1,1,Tier 1
5.66,0,5,71,68,83,5,1,7,2,0,Not Eligible
9.31,1,6,69,59,98,1,1,6,2,1,Tier 1
9.61,0,7,75,49,72,6,1,6,3,1,Tier 1
7.44,0,2,48,65,78,0,0,5,3,1,Tier 2
8.03,0,5,75,87,53,0,1,7,4,1,Tier 1
8.82,2,9,68,66,67,0,0,9,0,1,Tier 1
5.87,2,1,55,89,57,5,0,6,1,0,Not Eligible
7.51,3,8,67,53,94,6,1,10,4,1,Tier 2
6.99,1,1,60,75,72,4,0,7,2,0,Not Eligible
5.73,0,2,86,98,91,0,1,9,2,0,Not Eligible
6.84,0,9,95,51,81,4,0,7,2,0,Not Eligible
5.34,0,1,41,91,54,4,1,6,1,0,Not Eligible
5.13,0,8,99,98,50,6,0,3,4,0,Not Eligible
5.68,2,0,98,62,75,6,1,1,1,0,Not Eligible
9.82,3,4,85,60,54,2,0,10,5,1,Tier 1
7.75,4,0,74,47,92,1,1,9,2,1,Tier 2
9.83,1,4,93,78,87,0,1,7,3,1,Tier 1
7.16,0,7,67,97,69,0,0,3,4,1,Tier 2
6.56,3,7,94,48,97,0,0,10,3,0,Not Eligible
7.53,4,7,75,63,54,4,0,9,4,1,Tier 2
7.2,3,1,70,70,88,7,0,3,2,1,Tier 2
5.53,2,7,72,64,62,6,1,3,3,0,Not Eligible
8.2,4,4,62,56,82,3,0,7,3,1,Tier 1
6.08,3,0,99,81,89,7,0,2,4,0,Not Eligible
8.1,2,6,80,68,99,1,1,10,5,1,Tier 1
8.25,3,5,56,99,87,5,1,7,5,1,Tier 1
5.76,3,4,85,42,98,0,1,7,3,0,Not Eligible
5.31,4,0,88,60,54,3,0,1,3,0,Not Eligible
8.9,2,0,40,96,68,3,0,10,2,1,Tier 1
7.3,0,5,81,47,50,6,0,2,4,1,Tier 2
5.29,1,9,62,53,84,3,0,5,4,0,Not Eligible
9.97,4,6,87,97,57,1,1,4,0,1,Tier 1
5.29,2,9,66,78,79,3,0,3,4,0,Not Eligible
8.48,3,9,64,55,70,5,0,10,2,1,Tier 1
9.92,2,0,71,57,48,0,1,8,3,1,Tier 1
6.2,1,8,58,70,61,5,1,7,0,0,Not Eligible
5.71,1,3,63,50,50,0,1,9,3,0,Not Eligible
